,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,other_info
0,"[[0], [3], [], [], [1], [3]]",1.0479466547569887,4,x[3],"[1, 1, 0, 0, 1, 1]",x[3],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
1,"[[0], [3], [], [], [1], [3]]",1.0479466547569887,4,x[3],"[1, 1, 0, 0, 1, 1]",x[3],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
2,"[[0], [3], [], [], [1], [3]]",1.0479466547569887,4,x[3],"[1, 1, 0, 0, 1, 1]",x[3],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
3,"[[0], [4, 0, 3, 3, 4, 1, 3, 3, 2, 4, 2, 3, 1, 3, 3], [0, 0, 2], [3, 3], [1, 1, 0, 1, 2, 0, 0], [3, 5, 2]]",1.0479466547569887,8,x[3]+x[5]/((x[0]+x[2])/(_log_(_log_(Constant)/((x[0]*x[0])*x[5]))*x[5])*x[5]),"[1, 15, 3, 2, 7, 3]",x[3]+x[5]/((x[0]+x[2])/(_log_(_log_(0.5942250656041724)/((x[0]*x[0])*x[5]))*x[5])*x[5]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
4,"[[0], [3], [], [], [1], [3]]",1.0479466547569887,4,x[3],"[1, 1, 0, 0, 1, 1]",x[3],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
5,"[[0], [3], [], [], [1], [3]]",1.0479466547569887,4,x[3],"[1, 1, 0, 0, 1, 1]",x[3],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
6,"[[0], [1, 3, 3], [1], [], [1, 0], [3]]",1.0769261634187102,5,(x[3]-x[0]),"[1, 3, 1, 0, 2, 1]",(x[3]-x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
7,"[[0], [2, 2, 1, 0, 0, 3, 3, 1, 3, 3, 2, 1, 3, 3], [3, 1, 3, 4, 4], [4, 2, 2], [2, 2, 0, 0, 2, 2], []]",1.244238508628598,8,_inv_(_exp_((Constant|_div_|Constant-(x[0]|_div_|x[0])**_exp_((Constant**Constant))))),"[1, 14, 5, 3, 6, 0]",_inv_(_exp_((0.5942250656041724|_div_|0.723323292631134-(x[0]|_div_|x[0])**_exp_((0.08992457266499854**0.08558322728806267))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
8,"[[0], [0, 2, 3, 3], [2], [4], [0, 1], [3]]",1.4573964991094779,5,_inv_(x[0])*x[3],"[1, 4, 1, 1, 2, 1]",_inv_(x[0])*x[3],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
9,"[[0], [1, 3, 3], [2], [], [0, 0], []]",1.8855916129323307,4,(x[0]*x[0]),"[1, 3, 1, 0, 2, 0]",(x[0]*x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
10,"[[0], [2, 4, 2, 3, 4, 3, 2, 2, 3], [], [2, 3, 4, 2], [1, 2, 0], [4]]",2.0427882320957953,8,_exp_(_log_(x[4])/(Constant/(_inv_(_exp_(x[0]))*x[5])*x[5])),"[1, 9, 0, 4, 3, 1]",_exp_(_log_(x[4])/(0.5942250656041724/(_inv_(_exp_(x[0]))*x[5])*x[5])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
11,"[[0], [2, 3], [], [2], [2], []]",2.136939326152884,4,_exp_(Constant),"[1, 2, 0, 1, 1, 0]",_exp_(0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
12,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
13,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
14,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
15,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
16,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
17,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
18,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
19,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
20,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
21,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
22,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
23,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
24,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
25,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
26,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
27,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
28,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
29,"[[0], [2, 3], [], [3], [1], [4]]",2.1846272071708634,5,_log_(x[4]),"[1, 2, 0, 1, 1, 1]",_log_(x[4]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
30,"[[0], [2, 2, 2, 3], [], [2, 0, 0], [1], [1]]",2.1965572318909548,7,_exp_(sin(sin(x[1]))),"[1, 4, 0, 3, 1, 1]",_exp_(sin(sin(x[1]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
31,"[[0], [1, 3, 3], [1], [], [0, 2], []]",2.2284638989299554,4,(x[0]-Constant),"[1, 3, 1, 0, 2, 0]",(x[0]-0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
